observation,action
"0.5475702, 0.019921957, -0.774198, -1.6942134, 2.3876684, 0.8618779, 0.0, 0.0","1.0000305, 0.0999176"
"0.53871757, -0.019376554, -0.8524936, -1.7663308, 2.4312615, 0.8718683, 0.0, 0.0","1.0000305, 0.0999176"
"0.5291864, -0.060484983, -0.91911155, -1.8457758, 2.474796, 0.87069196, 0.0, 0.0","1.0000305, 0.10324412"
"0.0011211395, 1.4034628, 0.11354256, -0.33144, -0.0012923247, -0.025719076, 0.0, 0.0","0.47163305, 0.10324412"
"0.002241707, 1.3958272, 0.11335105, -0.33936176, -0.0025669558, -0.025494346, 0.0, 0.0","0.0, 0.05749687"
"0.0033623695, 1.387591, 0.113355085, -0.36605498, -0.0038406856, -0.025477195, 0.0, 0.0","0.0, 0.022431105"
"0.0044831275, 1.3787549, 0.11335884, -0.3927259, -0.0051142694, -0.02547383, 0.0, 0.0","0.0, 0.010986663"
"0.0056037903, 1.3693186, 0.11336261, -0.41939482, -0.0063876384, -0.025469879, 0.0, 0.0","0.0, 0.007721183"
"0.0067245485, 1.3592823, 0.113366365, -0.44606307, -0.0076608085, -0.025465881, 0.0, 0.0","0.0, 0.0060121464"
"0.007845402, 1.348646, 0.113370135, -0.4727315, -0.008933792, -0.025462013, 0.0, 0.0","0.0, 0.0060121464"
"0.008966255, 1.3374096, 0.11337389, -0.4994, -0.0102066165, -0.025458956, 0.0, 0.0","0.0, 0.0060121464"
"0.010087204, 1.3255734, 0.11337759, -0.5260685, -0.011479219, -0.025454218, 0.0, 0.0","0.0, 0.0046388134"
"0.011208057, 1.313137, 0.11338135, -0.55273706, -0.012751661, -0.025451139, 0.0, 0.0","0.0, 0.0027466659"
"0.012329007, 1.3001006, 0.11338504, -0.57940555, -0.014023925, -0.025447646, 0.0, 0.0","0.0, 0.0027466659"
"0.013450051, 1.2864642, 0.11338873, -0.6060742, -0.015295994, -0.025443751, 0.0, 0.0","0.0, 0.0027466659"
"0.014571095, 1.2722278, 0.113392435, -0.63274276, -0.016567875, -0.025439853, 0.0, 0.0","0.0, 0.0027466659"
"0.015692139, 1.2573916, 0.11339612, -0.6594115, -0.017839594, -0.025437078, 0.0, 0.0","0.0, 0.0016479995"
"0.016813278, 1.241955, 0.11339976, -0.68608016, -0.019111104, -0.025432378, 0.0, 0.0","0.0, 0.0016479995"
"0.017934417, 1.2259185, 0.11340344, -0.7127489, -0.020382443, -0.02542929, 0.0, 0.0","0.0, 0.0016479995"
"0.019055653, 1.2092822, 0.11340705, -0.7394177, -0.02165362, -0.025425766, 0.0, 0.0","0.11175878, 0.011932737"
"0.020097446, 1.192502, 0.10587831, -0.74580884, -0.023327528, -0.033481378, 0.0, 0.0","0.2069155, 0.015442366"
"0.021154976, 1.1756307, 0.10740936, -0.749861, -0.024964686, -0.032746103, 0.0, 0.0","0.29474777, 0.024597919"
"0.022195434, 1.1589818, 0.10584716, -0.7399807, -0.026745617, -0.03562192, 0.0, 0.0","0.35776848, 0.037812434"
"0.023318958, 1.1427705, 0.11385174, -0.7205288, -0.028225, -0.029590491, 0.0, 0.0","0.3953978, 0.04565569"
"0.024584388, 1.1269596, 0.12746206, -0.70272905, -0.02913153, -0.01813265, 0.0, 0.0","0.41450238, 0.048646506"
"0.025998782, 1.1116475, 0.14175774, -0.6805406, -0.029445117, -0.0062724715, 0.0, 0.0","0.42774743, 0.04934843"
"0.027452182, 1.0967133, 0.14556484, -0.66373885, -0.029666964, -0.004437047, 0.0, 0.0","0.43766594, 0.04934843"
"0.028973008, 1.0818379, 0.15205714, -0.66113347, -0.029636227, 0.0006145068, 0.0, 0.0","0.44389173, 0.04934843"
"0.030603504, 1.0668714, 0.16255453, -0.66516626, -0.029145064, 0.009823047, 0.0, 0.0","0.44956815, 0.04934843"
"0.032156657, 1.0521362, 0.15524542, -0.65489995, -0.029086713, 0.0011669938, 0.0, 0.0","0.44984284, 0.04934843"
"0.033628177, 1.0372176, 0.1475186, -0.6630534, -0.029442327, -0.0071121515, 0.0, 0.0","0.44984284, 0.04934843"
"0.035206698, 1.0222409, 0.15776715, -0.6656264, -0.029352287, 0.001800637, 0.0, 0.0","0.44990388, 0.04934843"
"0.03688898, 1.0074649, 0.16771984, -0.65670717, -0.028855309, 0.009939578, 0.0, 0.0","0.44990388, 0.04934843"
"0.038624, 0.993195, 0.17285345, -0.63420737, -0.028212376, 0.012858616, 0.0, 0.0","0.44990388, 0.04934843"
"0.04049797, 0.9793784, 0.18618712, -0.61404264, -0.027018573, 0.02387615, 0.0, 0.0","0.44990388, 0.04934843"
"0.042425252, 0.965615, 0.19132404, -0.61168474, -0.02563253, 0.027721042, 0.0, 0.0","0.44990388, 0.04934843"
"0.04448948, 0.9521317, 0.20444691, -0.5992193, -0.023682658, 0.038997397, 0.0, 0.0","0.44990388, 0.04934843"
"0.0465497, 0.93881506, 0.20411065, -0.59182435, -0.021807678, 0.03749954, 0.0, 0.0","0.4034547, 0.0516068"
"0.04858284, 0.9258236, 0.20160797, -0.5773733, -0.02011924, 0.033768926, 0.0, 0.0","0.10013123, 0.035126805"
"0.050607394, 0.912967, 0.2008326, -0.5713858, -0.018516116, 0.032062877, 0.0, 0.0","0.0, 0.012024293"
"0.052631952, 0.8995103, 0.2008326, -0.5980526, -0.016912965, 0.032062866, 0.0, 0.0","0.0, 0.0040284432"
"0.054656602, 0.8854537, 0.2008326, -0.6247195, -0.015309821, 0.032062847, 0.0, 0.0","0.0, 0.0033875545"
"0.056681156, 0.8707973, 0.2008326, -0.6513864, -0.013706683, 0.03206285, 0.0, 0.0","0.0, 0.0008850368"
"0.05870571, 0.8555406, 0.2008326, -0.6780532, -0.0121035455, 0.032062843, 0.0, 0.0","0.0, 0.00042725913"
"0.06073036, 0.8396842, 0.20083264, -0.70472014, -0.010500402, 0.032062896, 0.0, 0.0","0.0, -0.006042665"
"0.062754914, 0.82322776, 0.2008326, -0.7313869, -0.008897257, 0.032062918, 0.0, 0.0","0.0, -0.008301035"
"0.064779475, 0.80617136, 0.2008326, -0.7580538, -0.007294114, 0.032062907, 0.0, 0.0","0.0, 0.008545183"
"0.06680403, 0.7885148, 0.20083258, -0.78472066, -0.005690975, 0.03206291, 0.0, 0.0","0.0, 0.040040284"
"0.06882868, 0.7702586, 0.20083258, -0.8113876, -0.004087831, 0.032062963, 0.0, 0.0","0.0, 0.07080294"
"0.07085323, 0.7514022, 0.20083256, -0.8380545, -0.002484673, 0.032062966, 0.0, 0.0","0.0, 0.13293862"
"0.07287779, 0.73194593, 0.20083256, -0.86472136, -0.00088152, 0.03206296, 0.0, 0.0","0.0, 0.17365032"
"0.07490244, 0.71188974, 0.20083256, -0.89138824, 0.0007216163, 0.03206298, 0.0, 0.0","0.0, 0.19464706"
"0.07692699, 0.69123346, 0.20083258, -0.9180552, 0.0023247546, 0.032062963, 0.0, 0.0","0.0, 0.20172735"
"0.07895155, 0.66997737, 0.2008326, -0.94472194, 0.003927906, 0.032062955, 0.0, 0.0","0.0, 0.20276497"
"0.0809762, 0.6481211, 0.2008326, -0.9713888, 0.0055310368, 0.03206293, 0.0, 0.0","0.0, 0.13873714"
"0.08300076, 0.62566495, 0.20083264, -0.9980556, 0.0071341777, 0.032062925, 0.0, 0.0","0.0, 0.035523545"
"0.08502531, 0.602609, 0.2008326, -1.0247225, 0.008737331, 0.03206297, 0.0, 0.0","0.0, -0.023651846"
"0.087049864, 0.57895297, 0.20083258, -1.0513892, 0.010340481, 0.032062978, 0.0, 0.0","0.0, -0.09155553"
"0.089074515, 0.554697, 0.2008326, -1.0780562, 0.011943632, 0.03206292, 0.0, 0.0","0.0, -0.21045564"
"0.09109907, 0.529841, 0.20083258, -1.1047231, 0.013546772, 0.03206296, 0.0, 0.0","0.0, -0.34992522"
"0.09312363, 0.50438505, 0.20083258, -1.13139, 0.0151499165, 0.03206294, 0.0, 0.0","0.11810663, -0.4751732"
"0.095161155, 0.47900963, 0.2020328, -1.1278149, 0.016844766, 0.0338971, 0.0, 0.0","0.13071078, -0.5518052"
"0.09718933, 0.45381525, 0.19990753, -1.1197842, 0.019713335, 0.05737155, 0.0, 0.0","0.13415937, -0.5874813"
"0.09924956, 0.42889875, 0.20179224, -1.10746, 0.023895862, 0.083650276, 0.0, 0.0","0.13571581, -0.59709466"
"0.10122223, 0.40389213, 0.191883, -1.1115004, 0.029215401, 0.10639057, 0.0, 0.0","0.13571581, -0.59709466"
"0.10312071, 0.3788398, 0.18328598, -1.1135795, 0.035697293, 0.12963775, 0.0, 0.0","0.13730277, -0.59709466"
"0.104970075, 0.3535857, 0.17715116, -1.122609, 0.043379467, 0.15364388, 0.0, 0.0","0.14078188, -0.585284"
"0.10669823, 0.32812893, 0.16396484, -1.1316936, 0.05212298, 0.1748702, 0.0, 0.0","0.14532915, -0.5820185"
"0.108438775, 0.30290595, 0.16389029, -1.1214052, 0.06216954, 0.20093115, 0.0, 0.0","0.15173803, -0.573046"
"0.11012306, 0.27779582, 0.15709266, -1.1165097, 0.073388666, 0.22438264, 0.0, 0.0","0.15570544, -0.5085604"
"0.1117054, 0.25259852, 0.14595532, -1.1205249, 0.08554713, 0.2431694, 0.0, 0.0","0.0, -0.3598132"
"0.11328773, 0.22680324, 0.14595678, -1.1472038, 0.09770546, 0.2431669, 0.0, 0.0","0.0, -0.18146306"
"0.11486979, 0.2004098, 0.14595848, -1.1738827, 0.10986368, 0.2431645, 0.0, 0.0","0.0, -0.08047731"
"0.11645174, 0.17341842, 0.14596039, -1.2005616, 0.12202179, 0.243162, 0.0, 0.0","0.0, -0.044343393"
"0.118033506, 0.14582899, 0.14596254, -1.2272404, 0.13417977, 0.24315949, 0.0, 0.0","0.0, -0.027893918"
"0.119615175, 0.11764148, 0.14596489, -1.2539195, 0.14633763, 0.243157, 0.0, 0.0","0.0, -0.019989625"
"0.12119655, 0.08885601, 0.14596748, -1.2805983, 0.15849534, 0.2431545, 0.0, 0.0","0.0, -0.0168157"
"0.122777745, 0.059472524, 0.1459703, -1.3072773, 0.17065296, 0.24315207, 0.0, 0.0","0.0, -0.0168157"
"0.12435875, 0.029490933, 0.14597334, -1.333956, 0.18281044, 0.24314955, 0.0, 0.0","0.0, -0.014862514"
"0.12593946, -0.0010887885, 0.14597659, -1.3606347, 0.19496779, 0.24314706, 0.0, 1.0","0.0, -0.014862514"
"0.005249691, 1.4173613, 0.5317153, 0.28626093, -0.006076222, -0.1204413, 0.0, 0.0","0.0, -0.014862514"
"0.010499382, 1.4232244, 0.53099644, 0.26055792, -0.012027658, -0.11903872, 0.0, 0.0","0.0, -0.014862514"
"0.015749454, 1.4284892, 0.53101516, 0.23392347, -0.017975664, -0.11897121, 0.0, 0.0","0.0, -0.014862514"
"0.020999622, 1.4331542, 0.5310326, 0.20725013, -0.023922898, -0.11895567, 0.0, 0.0","0.0, -0.014862514"
"0.026250076, 1.4372197, 0.53105, 0.18057896, -0.029869193, -0.118936814, 0.0, 0.0","0.0, -0.013885922"
"0.03150053, 1.4406857, 0.53106755, 0.1539081, -0.03581453, -0.1189177, 0.0, 0.0","0.0, -0.013885922"
"0.03675127, 1.443552, 0.531085, 0.12723723, -0.041758914, -0.11889901, 0.0, 0.0","0.0, -0.013885922"
"0.042002298, 1.4458189, 0.5311024, 0.100566186, -0.047702372, -0.118880115, 0.0, 0.0","0.0, -0.013885922"
"0.04725342, 1.4474862, 0.53111976, 0.073895015, -0.053644884, -0.11886128, 0.0, 0.0","0.0, -0.013885922"
"0.052504826, 1.4485538, 0.531137, 0.04722364, -0.05958647, -0.11884252, 0.0, 0.0","0.0, -0.013885922"
"0.057756424, 1.449022, 0.5311541, 0.020552112, -0.065527126, -0.11882385, 0.0, 0.0","0.0, -0.013885922"
"0.06300821, 1.4488904, 0.5311712, -0.006119562, -0.071466826, -0.118805215, 0.0, 0.0","0.0, -0.013885922"
"0.06826019, 1.4481592, 0.53118813, -0.032791354, -0.077405624, -0.11878673, 0.0, 0.0","0.0, -0.013885922"
"0.07351236, 1.4468285, 0.53120506, -0.059463274, -0.08334349, -0.11876825, 0.0, 0.0","0.0, -0.013885922"
"0.07876472, 1.4448982, 0.53122187, -0.08613524, -0.08928045, -0.11874992, 0.0, 0.0","0.0, -0.02255318"
"0.08401737, 1.4423684, 0.53123856, -0.112807356, -0.09521649, -0.118731596, 0.0, 0.0","0.0, -0.037720878"
"0.089270115, 1.439239, 0.5312551, -0.13947958, -0.10115162, -0.118713364, 0.0, 0.0","0.0, -0.115421005"
"0.09452315, 1.4355099, 0.53127164, -0.16615194, -0.107085854, -0.118695185, 0.0, 0.0","0.0, -0.25891903"
"0.09977646, 1.4311812, 0.531288, -0.19282442, -0.113019176, -0.118677095, 0.0, 0.0","0.0, -0.3723258"
"0.105029866, 1.426253, 0.53130436, -0.21949705, -0.118951574, -0.11865904, 0.0, 0.0","0.0, -0.50212103"
"0.11024094, 1.4207368, 0.5259594, -0.2455668, -0.12378933, -0.09676389, 0.0, 0.0","0.0, -0.60338145"
"0.11540117, 1.4146366, 0.5195643, -0.27141094, -0.12731402, -0.07049987, 0.0, 0.0","0.0, -0.7128208"
"0.12050362, 1.4079511, 0.5122955, -0.29731008, -0.1293551, -0.04082495, 0.0, 0.0","0.0, -0.80126345"
"0.12555027, 1.4006717, 0.5052985, -0.32359102, -0.12998645, -0.012628031, 0.0, 0.0","0.0, -0.8596759"
"0.13053723, 1.3927981, 0.49782556, -0.34986788, -0.12911423, 0.017446352, 0.0, 0.0","0.17264321, -0.9061556"
